NSW,SW
12jam,12 jam
1hri,1 hari
1kerja,1 kerja
24jam,24 jam
3hari,3 hari
awal2,awal-awal
bab2,bab-bab
bodoh²,bodoh-bodoh
cikgu2,cikgu-cikgu
disana,di sana
gila2,gila-gila
harap2,harap-harap
hari2,hari-hari
kutuk2,kutuk-kutuk
mcm2,macam-macam
mula2,mula-mula
murah2,murah-murah
pagi2,pagi-pagi
pakat2,pakat-pakat
pasal2,pasal-pasal
rakyat2,rakyat-rakyat
skit2,sikit-sikit
